pattern,count,before_round,after_round,round_delta,cumulative_delta_from_pattern_start
rand,20000,23343188,22395594,-947594,-947594
rand,40000,22395594,23764814,1369220,421626
rand,60000,23764814,22913351,-851463,-429837
rand,80000,22913351,24282571,1369220,939383
rand,100000,24282571,23425200,-857371,82012
rand,120000,23425200,24794420,1369220,1451232
rand,140000,24794420,23922174,-872246,578986
rand,160000,23922174,25291394,1369220,1948206
rand,180000,25291394,24414937,-876457,1071749
rand,200000,24414937,25784157,1369220,2440969
rand,220000,25784157,24910016,-874141,1566828
rand,240000,24910016,26279236,1369220,2936048
rand,260000,26279236,25455986,-823250,2112798
rand,280000,25455986,26825206,1369220,3482018
rand,300000,26825206,25948537,-876669,2605349
rand,320000,25948537,27317757,1369220,3974569
rand,340000,27317757,26445292,-872465,3102104
rand,360000,26445292,27814512,1369220,4471324
rand,380000,27814512,26938551,-875961,3595363
rand,400000,26938551,28307771,1369220,4964583
rand,420000,28307771,27484199,-823572,4141011
rand,440000,27484199,28853419,1369220,5510231
rand,460000,28853419,27980239,-873180,4637051
rand,480000,27980239,29349459,1369220,6006271
rand,500000,29349459,28473619,-875840,5130431
rand,520000,28473619,29842839,1369220,6499651
rand,540000,29842839,28970381,-872458,5627193
rand,560000,28970381,30339601,1369220,6996413
rand,580000,30339601,29517064,-822537,6173876
rand,600000,29517064,30886284,1369220,7543096
rand,620000,30886284,30010000,-876284,6666812
rand,640000,30010000,31379220,1369220,8036032
rand,660000,31379220,30504883,-874337,7161695
rand,680000,30504883,31874103,1369220,8530915
rand,700000,31874103,30997239,-876864,7654051
rand,720000,30997239,32366459,1369220,9023271
rand,740000,32366459,31544373,-822086,8201185
rand,760000,31544373,32913593,1369220,9570405
rand,780000,32913593,32040879,-872714,8697691
rand,800000,32040879,33410099,1369220,10066911
rand,820000,33410099,32534047,-876052,9190859
rand,840000,32534047,33903267,1369220,10560079
rand,860000,33903267,33029238,-874029,9686050
rand,880000,33029238,34398458,1369220,11055270
rand,900000,34398458,33573356,-825102,10230168
rand,920000,33573356,34942576,1369220,11599388
rand,940000,34942576,34068530,-874046,10725342
rand,960000,34068530,35437750,1369220,12094562
rand,980000,35437750,34565068,-872682,11221880
rand,1000000,34565068,35934288,1369220,12591100
rand,1020000,35934288,35058184,-876104,11714996
rand,1040000,35058184,36427404,1369220,13084216
rand,1060000,36427404,35600813,-826591,12257625
rand,1080000,35600813,36970033,1369220,13626845
rand,1100000,36970033,36082278,-887755,12739090
rand,1120000,36082278,37451498,1369220,14108310
rand,1140000,37451498,36562784,-888714,13219596
rand,1160000,36562784,37932004,1369220,14588816
rand,1180000,37932004,37046979,-885025,13703791
rand,1200000,37046979,38416199,1369220,15073011
rand,1220000,38416199,37593041,-823158,14249853
rand,1240000,37593041,38962261,1369220,15619073
rand,1260000,38962261,38077005,-885256,14733817
rand,1280000,38077005,39446225,1369220,16103037
rand,1300000,39446225,38560006,-886219,15216818
rand,1320000,38560006,39929226,1369220,16586038
rand,1340000,39929226,39041254,-887972,15698066
rand,1360000,39041254,40410474,1369220,17067286
rand,1380000,40410474,39590930,-819544,16247742
rand,1400000,39590930,40960150,1369220,17616962
rand,1420000,40960150,40072047,-888103,16728859
rand,1440000,40072047,41441267,1369220,18098079
rand,1460000,41441267,40556404,-884863,17213216
rand,1480000,40556404,41925624,1369220,18582436
rand,1500000,41925624,41040669,-884955,17697481
rand,1520000,41040669,42409889,1369220,19066701
rand,1540000,42409889,41587316,-822573,18244128
rand,1560000,41587316,42956536,1369220,19613348
rand,1580000,42956536,42069234,-887302,18726046
rand,1600000,42069234,43438454,1369220,20095266
rand,1620000,43438454,42549979,-888475,19206791
rand,1640000,42549979,43919199,1369220,20576011
rand,1660000,43919199,43033455,-885744,19690267
rand,1680000,43033455,44402675,1369220,21059487
rand,1700000,44402675,43584453,-818222,20241265
rand,1720000,43584453,44953673,1369220,21610485
rand,1740000,44953673,44065434,-888239,20722246
rand,1760000,44065434,45434654,1369220,22091466
rand,1780000,45434654,44549335,-885319,21206147
rand,1800000,44549335,45918555,1369220,22575367
rand,1820000,45918555,45030249,-888306,21687061
rand,1840000,45030249,46399469,1369220,23056281
rand,1860000,46399469,45579859,-819610,22236671
rand,1880000,45579859,46949079,1369220,23605891
rand,1900000,46949079,46064149,-884930,22720961
rand,1920000,46064149,47433369,1369220,24090181
rand,1940000,47433369,46545538,-887831,23202350
rand,1960000,46545538,47914758,1369220,24571570
rand,1980000,47914758,47029606,-885152,23686418
rand,2000000,47029606,48398826,1369220,25055638
