pattern,count,before_round,after_round,round_delta,cumulative_delta_from_pattern_start
rand,10000,64177,64177,0,0
rand,20000,64177,743250,679073,679073
rand,30000,743250,1422323,679073,1358146
rand,40000,1422323,2101396,679073,2037219
rand,50000,2101396,2780462,679066,2716285
rand,60000,2780462,3459535,679073,3395358
rand,70000,3459535,1348035,-2111500,1283858
rand,80000,1348035,2027108,679073,1962931
rand,90000,2027108,2706181,679073,2642004
rand,100000,2706181,3385247,679066,3321070
rand,110000,3385247,4064320,679073,4000143
rand,120000,4064320,1974651,-2089669,1910474
rand,130000,1974651,2653724,679073,2589547
rand,140000,2653724,3332797,679073,3268620
rand,150000,3332797,4011863,679066,3947686
rand,160000,4011863,4690936,679073,4626759
rand,170000,4690936,2593776,-2097160,2529599
rand,180000,2593776,3272849,679073,3208672
rand,190000,3272849,3951922,679073,3887745
rand,200000,3951922,4630988,679066,4566811
rand,210000,4630988,5310061,679073,5245884
rand,220000,5310061,3256702,-2053359,3192525
rand,230000,3256702,3935775,679073,3871598
rand,240000,3935775,4614848,679073,4550671
rand,250000,4614848,5293914,679066,5229737
rand,260000,5293914,5972987,679073,5908810
rand,270000,5972987,3875410,-2097577,3811233
rand,280000,3875410,4554483,679073,4490306
rand,290000,4554483,5233556,679073,5169379
rand,300000,5233556,5912622,679066,5848445
rand,310000,5912622,6591695,679073,6527518
rand,320000,6591695,4495296,-2096399,4431119
rand,330000,4495296,5174369,679073,5110192
rand,340000,5174369,5853442,679073,5789265
rand,350000,5853442,6532508,679066,6468331
rand,360000,6532508,7211581,679073,7147404
rand,370000,7211581,5114027,-2097554,5049850
rand,380000,5114027,5793100,679073,5728923
rand,390000,5793100,6472173,679073,6407996
rand,400000,6472173,7151239,679066,7087062
rand,410000,7151239,7830312,679073,7766135
rand,420000,7830312,5791425,-2038887,5727248
rand,430000,5791425,6470498,679073,6406321
rand,440000,6470498,7149571,679073,7085394
rand,450000,7149571,7828637,679066,7764460
rand,460000,7828637,8507710,679073,8443533
rand,470000,8507710,6410226,-2097484,6346049
rand,480000,6410226,7089299,679073,7025122
rand,490000,7089299,7768372,679073,7704195
rand,500000,7768372,8447438,679066,8383261
rand,510000,8447438,9126511,679073,9062334
rand,520000,9126511,7029435,-2097076,6965258
rand,530000,7029435,7708508,679073,7644331
rand,540000,7708508,8387581,679073,8323404
rand,550000,8387581,9066647,679066,9002470
rand,560000,9066647,9745720,679073,9681543
rand,570000,9745720,7653739,-2091981,7589562
rand,580000,7653739,8332812,679073,8268635
rand,590000,8332812,9011885,679073,8947708
rand,600000,9011885,9690951,679066,9626774
rand,610000,9690951,10370024,679073,10305847
rand,620000,10370024,8326506,-2043518,8262329
rand,630000,8326506,9005579,679073,8941402
rand,640000,9005579,9684652,679073,9620475
rand,650000,9684652,10363718,679066,10299541
rand,660000,10363718,11042791,679073,10978614
rand,670000,11042791,8944895,-2097896,8880718
rand,680000,8944895,9623968,679073,9559791
rand,690000,9623968,10303041,679073,10238864
rand,700000,10303041,10982107,679066,10917930
rand,710000,10982107,11661180,679073,11597003
rand,720000,11661180,9568747,-2092433,9504570
rand,730000,9568747,10247820,679073,10183643
rand,740000,10247820,10926893,679073,10862716
rand,750000,10926893,11605959,679066,11541782
rand,760000,11605959,12285032,679073,12220855
rand,770000,12285032,10187840,-2097192,10123663
rand,780000,10187840,10866913,679073,10802736
rand,790000,10866913,11545986,679073,11481809
rand,800000,11545986,12225052,679066,12160875
rand,810000,12225052,12904125,679073,12839948
rand,820000,12904125,10866017,-2038108,10801840
rand,830000,10866017,11545090,679073,11480913
rand,840000,11545090,12224163,679073,12159986
rand,850000,12224163,12903229,679066,12839052
rand,860000,12903229,13582302,679073,13518125
rand,870000,13582302,11488242,-2094060,11424065
rand,880000,11488242,12167315,679073,12103138
rand,890000,12167315,12846388,679073,12782211
rand,900000,12846388,13525454,679066,13461277
rand,910000,13525454,14204527,679073,14140350
rand,920000,14204527,12107331,-2097196,12043154
rand,930000,12107331,12786404,679073,12722227
rand,940000,12786404,13465477,679073,13401300
rand,950000,13465477,14144543,679066,14080366
rand,960000,14144543,14823616,679073,14759439
rand,970000,14823616,12727192,-2096424,12663015
rand,980000,12727192,13406265,679073,13342088
rand,990000,13406265,14085338,679073,14021161
rand,1000000,14085338,14764404,679066,14700227
