pattern,count,before_round,after_round,round_delta,cumulative_delta_from_pattern_start
sequ,20000,64176,1433396,1369220,1369220
sequ,40000,1433396,2802616,1369220,2738440
sequ,60000,2802616,1805427,-997189,1741251
sequ,80000,1805427,3174647,1369220,3110471
sequ,100000,3174647,2226880,-947767,2162704
sequ,120000,2226880,3596100,1369220,3531924
sequ,140000,3596100,2645400,-950700,2581224
sequ,160000,2645400,4014620,1369220,3950444
sequ,180000,4014620,3058331,-956289,2994155
sequ,200000,3058331,4427551,1369220,4363375
sequ,220000,4427551,3479154,-948397,3414978
sequ,240000,3479154,4848374,1369220,4784198
sequ,260000,4848374,3897893,-950481,3833717
sequ,280000,3897893,5267113,1369220,5202937
sequ,300000,5267113,4318180,-948933,4254004
sequ,320000,4318180,5687400,1369220,5623224
sequ,340000,5687400,4738331,-949069,4674155
sequ,360000,4738331,6107551,1369220,6043375
sequ,380000,6107551,5160293,-947258,5096117
sequ,400000,5160293,6529513,1369220,6465337
sequ,420000,6529513,5581738,-947775,5517562
sequ,440000,5581738,6950958,1369220,6886782
sequ,460000,6950958,6000512,-950446,5936336
sequ,480000,6000512,7369732,1369220,7305556
sequ,500000,7369732,6420866,-948866,6356690
sequ,520000,6420866,7790086,1369220,7725910
sequ,540000,7790086,6839665,-950421,6775489
sequ,560000,6839665,8208885,1369220,8144709
sequ,580000,8208885,7260928,-947957,7196752
sequ,600000,7260928,8630148,1369220,8565972
sequ,620000,8630148,7686328,-943820,7622152
sequ,640000,7686328,9055548,1369220,8991372
sequ,660000,9055548,8100812,-954736,8036636
sequ,680000,8100812,9470032,1369220,9405856
sequ,700000,9470032,8521941,-948091,8457765
sequ,720000,8521941,9891161,1369220,9826985
sequ,740000,9891161,8944212,-946949,8880036
sequ,760000,8944212,10313432,1369220,10249256
sequ,780000,10313432,9364036,-949396,9299860
sequ,800000,9364036,10733256,1369220,10669080
sequ,820000,10733256,9781072,-952184,9716896
sequ,840000,9781072,11150292,1369220,11086116
sequ,860000,11150292,10199515,-950777,10135339
sequ,880000,10199515,11568735,1369220,11504559
sequ,900000,11568735,10625003,-943732,10560827
sequ,920000,10625003,11994223,1369220,11930047
sequ,940000,11994223,11045114,-949109,10980938
sequ,960000,11045114,12414334,1369220,12350158
sequ,980000,12414334,11460002,-954332,11395826
sequ,1000000,11460002,12829222,1369220,12765046
sequ,1020000,12829222,11884169,-945053,11819993
sequ,1040000,11884169,13253389,1369220,13189213
sequ,1060000,13253389,12302781,-950608,12238605
sequ,1080000,12302781,13672001,1369220,13607825
sequ,1100000,13672001,12724652,-947349,12660476
sequ,1120000,12724652,14093872,1369220,14029696
sequ,1140000,14093872,13146787,-947085,13082611
sequ,1160000,13146787,14516007,1369220,14451831
sequ,1180000,14516007,13565455,-950552,13501279
sequ,1200000,13565455,14934675,1369220,14870499
sequ,1220000,14934675,13985091,-949584,13920915
sequ,1240000,13985091,15354311,1369220,15290135
sequ,1260000,15354311,14404258,-950053,14340082
sequ,1280000,14404258,15773478,1369220,15709302
sequ,1300000,15773478,14827363,-946115,14763187
sequ,1320000,14827363,16196583,1369220,16132407
sequ,1340000,16196583,15249197,-947386,15185021
sequ,1360000,15249197,16618417,1369220,16554241
sequ,1380000,16618417,15668300,-950117,15604124
sequ,1400000,15668300,17037520,1369220,16973344
sequ,1420000,17037520,16089858,-947662,16025682
sequ,1440000,16089858,17459078,1369220,17394902
sequ,1460000,17459078,16509150,-949928,16444974
sequ,1480000,16509150,17878370,1369220,17814194
sequ,1500000,17878370,16929697,-948673,16865521
sequ,1520000,16929697,18298917,1369220,18234741
sequ,1540000,18298917,17351712,-947205,17287536
sequ,1560000,17351712,18720932,1369220,18656756
sequ,1580000,18720932,17770529,-950403,17706353
sequ,1600000,17770529,19139749,1369220,19075573
sequ,1620000,19139749,18191672,-948077,18127496
sequ,1640000,18191672,19560892,1369220,19496716
sequ,1660000,19560892,18612261,-948631,18548085
sequ,1680000,18612261,19981481,1369220,19917305
sequ,1700000,19981481,19031223,-950258,18967047
sequ,1720000,19031223,20400443,1369220,20336267
sequ,1740000,20400443,19452419,-948024,19388243
sequ,1760000,19452419,20821639,1369220,20757463
sequ,1780000,20821639,19872309,-949330,19808133
sequ,1800000,19872309,21241529,1369220,21177353
sequ,1820000,21241529,20294404,-947125,20230228
sequ,1840000,20294404,21663624,1369220,21599448
sequ,1860000,21663624,20715809,-947815,20651633
sequ,1880000,20715809,22085029,1369220,22020853
sequ,1900000,22085029,21134778,-950251,21070602
sequ,1920000,21134778,22503998,1369220,22439822
sequ,1940000,22503998,21554901,-949097,21490725
sequ,1960000,21554901,22924121,1369220,22859945
sequ,1980000,22924121,21973968,-950153,21909792
sequ,2000000,21973968,23343188,1369220,23279012
