pattern,count,before_round,after_round,round_delta,cumulative_delta_from_pattern_start
sequ,10000,64248,64248,0,0
sequ,20000,64248,743321,679073,679073
sequ,30000,743321,1422394,679073,1358146
sequ,40000,1422394,2101467,679073,2037219
sequ,50000,2101467,2780533,679066,2716285
sequ,60000,2780533,3459606,679073,3395358
sequ,70000,3459606,1219651,-2239955,1155403
sequ,80000,1219651,1898724,679073,1834476
sequ,90000,1898724,2577797,679073,2513549
sequ,100000,2577797,3256863,679066,3192615
sequ,110000,3256863,3935936,679073,3871688
sequ,120000,3935936,1744899,-2191037,1680651
sequ,130000,1744899,2423972,679073,2359724
sequ,140000,2423972,3103045,679073,3038797
sequ,150000,3103045,3782111,679066,3717863
sequ,160000,3782111,4461184,679073,4396936
sequ,170000,4461184,2268948,-2192236,2204700
sequ,180000,2268948,2948021,679073,2883773
sequ,190000,2948021,3627094,679073,3562846
sequ,200000,3627094,4306160,679066,4241912
sequ,210000,4306160,4985233,679073,4920985
sequ,220000,4985233,2783159,-2202074,2718911
sequ,230000,2783159,3462232,679073,3397984
sequ,240000,3462232,4141305,679073,4077057
sequ,250000,4141305,4820371,679066,4756123
sequ,260000,4820371,5499444,679073,5435196
sequ,270000,5499444,3307222,-2192222,3242974
sequ,280000,3307222,3986295,679073,3922047
sequ,290000,3986295,4665368,679073,4601120
sequ,300000,4665368,5344434,679066,5280186
sequ,310000,5344434,6023507,679073,5959259
sequ,320000,6023507,3832074,-2191433,3767826
sequ,330000,3832074,4511147,679073,4446899
sequ,340000,4511147,5190220,679073,5125972
sequ,350000,5190220,5869286,679066,5805038
sequ,360000,5869286,6548359,679073,6484111
sequ,370000,6548359,4357855,-2190504,4293607
sequ,380000,4357855,5036928,679073,4972680
sequ,390000,5036928,5716001,679073,5651753
sequ,400000,5716001,6395067,679066,6330819
sequ,410000,6395067,7074140,679073,7009892
sequ,420000,7074140,4882895,-2191245,4818647
sequ,430000,4882895,5561968,679073,5497720
sequ,440000,5561968,6241041,679073,6176793
sequ,450000,6241041,6920107,679066,6855859
sequ,460000,6920107,7599180,679073,7534932
sequ,470000,7599180,5406799,-2192381,5342551
sequ,480000,5406799,6085872,679073,6021624
sequ,490000,6085872,6764945,679073,6700697
sequ,500000,6764945,7444011,679066,7379763
sequ,510000,7444011,8123084,679073,8058836
sequ,520000,8123084,5931357,-2191727,5867109
sequ,530000,5931357,6610430,679073,6546182
sequ,540000,6610430,7289503,679073,7225255
sequ,550000,7289503,7968569,679066,7904321
sequ,560000,7968569,8647642,679073,8583394
sequ,570000,8647642,6456141,-2191501,6391893
sequ,580000,6456141,7135214,679073,7070966
sequ,590000,7135214,7814287,679073,7750039
sequ,600000,7814287,8493353,679066,8429105
sequ,610000,8493353,9172426,679073,9108178
sequ,620000,9172426,6980090,-2192336,6915842
sequ,630000,6980090,7659163,679073,7594915
sequ,640000,7659163,8338236,679073,8273988
sequ,650000,8338236,9017302,679066,8953054
sequ,660000,9017302,9696375,679073,9632127
sequ,670000,9696375,7503855,-2192520,7439607
sequ,680000,7503855,8182928,679073,8118680
sequ,690000,8182928,8862001,679073,8797753
sequ,700000,8862001,9541067,679066,9476819
sequ,710000,9541067,10220140,679073,10155892
sequ,720000,10220140,8028582,-2191558,7964334
sequ,730000,8028582,8707655,679073,8643407
sequ,740000,8707655,9386728,679073,9322480
sequ,750000,9386728,10065794,679066,10001546
sequ,760000,10065794,10744867,679073,10680619
sequ,770000,10744867,8556466,-2188401,8492218
sequ,780000,8556466,9235539,679073,9171291
sequ,790000,9235539,9914612,679073,9850364
sequ,800000,9914612,10593678,679066,10529430
sequ,810000,11272751,11272751,0,11208503
sequ,820000,11272751,9077580,-2195171,9013332
sequ,830000,9077580,9756653,679073,9692405
sequ,840000,9756653,10435726,679073,10371478
sequ,850000,10435726,11114792,679066,11050544
sequ,860000,11114792,11793865,679073,11729617
sequ,870000,11793865,9600997,-2192868,9536749
sequ,880000,9600997,10280070,679073,10215822
sequ,890000,10280070,10959143,679073,10894895
sequ,900000,10959143,11638209,679066,11573961
sequ,910000,11638209,12317282,679073,12253034
sequ,920000,12317282,10128981,-2188301,10064733
sequ,930000,10128981,10808054,679073,10743806
sequ,940000,10808054,11487127,679073,11422879
sequ,950000,11487127,12166193,679066,12101945
sequ,960000,12166193,12845266,679073,12781018
sequ,970000,12845266,10653272,-2191994,10589024
sequ,980000,10653272,11332345,679073,11268097
sequ,990000,11332345,12011418,679073,11947170
sequ,1000000,12011418,12690484,679066,12626236
