pattern,count,before_round,after_round,round_delta,cumulative_delta_from_pattern_start
shortprefix,10000,64176,64176,0,0
shortprefix,20000,64176,743249,679073,679073
shortprefix,30000,743249,1422322,679073,1358146
shortprefix,40000,1422322,2101395,679073,2037219
shortprefix,50000,2101395,2780461,679066,2716285
shortprefix,60000,2780461,3459534,679073,3395358
shortprefix,70000,3459534,1316041,-2143493,1251865
shortprefix,80000,1316041,1995114,679073,1930938
shortprefix,90000,1995114,2674187,679073,2610011
shortprefix,100000,2674187,3353253,679066,3289077
shortprefix,110000,3353253,4032326,679073,3968150
shortprefix,120000,4032326,1938373,-2093953,1874197
shortprefix,130000,1938373,2617446,679073,2553270
shortprefix,140000,2617446,3296519,679073,3232343
shortprefix,150000,3296519,3975585,679066,3911409
shortprefix,160000,3975585,4654658,679073,4590482
shortprefix,170000,4654658,2559533,-2095125,2495357
shortprefix,180000,2559533,3238606,679073,3174430
shortprefix,190000,3238606,3917679,679073,3853503
shortprefix,200000,3917679,4596745,679066,4532569
shortprefix,210000,4596745,5275818,679073,5211642
shortprefix,220000,5275818,3170788,-2105030,3106612
shortprefix,230000,3170788,3849861,679073,3785685
shortprefix,240000,3849861,4528934,679073,4464758
shortprefix,250000,4528934,5208000,679066,5143824
shortprefix,260000,5208000,5887073,679073,5822897
shortprefix,270000,5887073,3791239,-2095834,3727063
shortprefix,280000,3791239,4470312,679073,4406136
shortprefix,290000,4470312,5149385,679073,5085209
shortprefix,300000,5149385,5828451,679066,5764275
shortprefix,310000,5828451,6507524,679073,6443348
shortprefix,320000,6507524,4412812,-2094712,4348636
shortprefix,330000,4412812,5091885,679073,5027709
shortprefix,340000,5091885,5770958,679073,5706782
shortprefix,350000,5770958,6450024,679066,6385848
shortprefix,360000,6450024,7129097,679073,7064921
shortprefix,370000,7129097,5035298,-2093799,4971122
shortprefix,380000,5035298,5714371,679073,5650195
shortprefix,390000,5714371,6393444,679073,6329268
shortprefix,400000,6393444,7072510,679066,7008334
shortprefix,410000,7072510,7751583,679073,7687407
shortprefix,420000,7751583,5654519,-2097064,5590343
shortprefix,430000,5654519,6333592,679073,6269416
shortprefix,440000,6333592,7012665,679073,6948489
shortprefix,450000,7012665,7691731,679066,7627555
shortprefix,460000,7691731,8370804,679073,8306628
shortprefix,470000,8370804,6274719,-2096085,6210543
shortprefix,480000,6274719,6953792,679073,6889616
shortprefix,490000,6953792,7632865,679073,7568689
shortprefix,500000,7632865,8311931,679066,8247755
shortprefix,510000,8311931,8991004,679073,8926828
shortprefix,520000,8991004,6895912,-2095092,6831736
shortprefix,530000,6895912,7574985,679073,7510809
shortprefix,540000,7574985,8254058,679073,8189882
shortprefix,550000,8254058,8933124,679066,8868948
shortprefix,560000,8933124,9612197,679073,9548021
shortprefix,570000,9612197,7521261,-2090936,7457085
shortprefix,580000,7521261,8200334,679073,8136158
shortprefix,590000,8200334,8879407,679073,8815231
shortprefix,600000,8879407,9558473,679066,9494297
shortprefix,610000,9558473,10237546,679073,10173370
shortprefix,620000,10237546,8138749,-2098797,8074573
shortprefix,630000,8138749,8817822,679073,8753646
shortprefix,640000,8817822,9496895,679073,9432719
shortprefix,650000,9496895,10175961,679066,10111785
shortprefix,660000,10175961,10855034,679073,10790858
shortprefix,670000,10855034,8759112,-2095922,8694936
shortprefix,680000,8759112,9438185,679073,9374009
shortprefix,690000,9438185,10117258,679073,10053082
shortprefix,700000,10117258,10796324,679066,10732148
shortprefix,710000,10796324,11475397,679073,11411221
shortprefix,720000,11475397,9384363,-2091034,9320187
shortprefix,730000,9384363,10063436,679073,9999260
shortprefix,740000,10063436,10742509,679073,10678333
shortprefix,750000,10742509,11421575,679066,11357399
shortprefix,760000,11421575,12100648,679073,12036472
shortprefix,770000,12100648,10005348,-2095300,9941172
shortprefix,780000,10005348,10684421,679073,10620245
shortprefix,790000,10684421,11363494,679073,11299318
shortprefix,800000,11363494,12042560,679066,11978384
shortprefix,810000,12042560,12721633,679073,12657457
shortprefix,820000,12721633,10622128,-2099505,10557952
shortprefix,830000,10622128,11301201,679073,11237025
shortprefix,840000,11301201,11980274,679073,11916098
shortprefix,850000,11980274,12659340,679066,12595164
shortprefix,860000,12659340,13338413,679073,13274237
shortprefix,870000,13338413,11246350,-2092063,11182174
shortprefix,880000,11246350,11925423,679073,11861247
shortprefix,890000,11925423,12604496,679073,12540320
shortprefix,900000,12604496,13283562,679066,13219386
shortprefix,910000,13283562,13962635,679073,13898459
shortprefix,920000,13962635,11867666,-2094969,11803490
shortprefix,930000,11867666,12546739,679073,12482563
shortprefix,940000,12546739,13225812,679073,13161636
shortprefix,950000,13225812,13904878,679066,13840702
shortprefix,960000,13904878,14583951,679073,14519775
shortprefix,970000,14583951,12489085,-2094866,12424909
shortprefix,980000,12489085,13168158,679073,13103982
shortprefix,990000,13168158,13847231,679073,13783055
shortprefix,1000000,13847231,14526297,679066,14462121
